Date,Open,High,Low,Close,Volume,MACD,RSI SMA,RSI EWMA,Daily Change,5 Day Change
2015-12-01,118.75,118.809998,116.860001,117.339996,34852400,0.528496158,228.7978529,-552.1288866,-0.008115021,-0.003481987
2015-12-02,117.339996,118.110001,116.080002,116.279999,33386600,0.378106958,279.1510183,-145.8847687,-0.009033552,-0.021870778
2015-12-03,116.550003,116.790001,114.220001,115.199997,41569500,0.169817744,-173.6840695,-76.13011376,-0.009287943,-0.023976972
2015-12-04,115.290001,119.25,115.110001,119.029999,57777000,0.31022017,2388.0032,264.2287629,0.033246546,0.010355666
2015-12-07,118.980003,119.860001,117.809998,118.279999,32084200,0.356857738,-534.3120223,491.592455,-0.006300933,-0.000169096
2015-12-08,117.519997,118.599998,116.860001,118.230003,34309500,0.385342103,1135.410404,528.655211,-0.000422692,0.007584856
2015-12-09,117.639999,117.690002,115.080002,115.620003,46361400,0.195062422,-132.515796,-138.7373665,-0.022075615,-0.00567592
2015-12-10,116.040001,116.940002,115.510002,116.169998,29104200,0.087634212,-261.8279237,-253.761053,0.004756919,0.008420148
2015-12-11,115.190002,115.389999,112.849998,113.18,46886200,-0.236050229,-105.1836739,-60.40030181,-0.025738126,-0.049147266
2015-12-14,112.18,112.68,109.790001,112.480003,64318700,-0.542799335,-75.25768041,-49.58846507,-0.006184812,-0.049036152
2015-12-15,111.940002,112.800003,110.349998,110.489998,53323100,-0.935690922,-63.94158071,-30.57300973,-0.017692078,-0.065465658
2015-12-16,111.07,111.989998,108.800003,111.339996,56238500,-1.165042713,-105.8702798,-63.25480907,0.007692986,-0.037017877
2015-12-17,112.019997,112.25,108.980003,108.980003,44772800,-1.519718997,-84.08360201,-34.20348649,-0.021196273,-0.061892013
2015-12-18,108.910004,109.519997,105.809998,106.029999,96453300,-2.015608496,-10.76917692,-20.09992375,-0.027069223,-0.063173714
2015-12-21,107.279999,107.370003,105.57,107.330002,47590600,-2.277452069,-24.65750447,-54.38808165,0.012260709,-0.045785925
2015-12-22,107.400002,107.720001,106.449997,107.230003,32789400,-2.464623426,-24.54541818,-52.96639682,-0.000931697,-0.029504888
2015-12-23,107.269997,108.849998,107.199997,108.610001,32657400,-2.473095465,-58.20246556,-173.590242,0.012869514,-0.024519446
2015-12-24,109,109,107.949997,108.029999,13570400,-2.497817643,-43.36608641,-123.5449408,-0.005340226,-0.008717232
2015-12-28,107.589996,107.690002,106.18,106.82,26704200,-2.58524585,-55.50312893,-71.20354424,-0.011200583,0.007450731
2015-12-29,106.959999,109.43,106.860001,108.739998,30931200,-2.471120008,-145.7216501,-859.9242726,0.017974143,0.013137016
